#energy(MeV)               	         phot		        compt		         conv		Rayl		        total
#-------------------------------------------------------------------cross section per atom (barn)--------------------------------------------------- 
1e-4			 	  2.92847e+07         0e-12 	            0e-12            0e-12	  	2.92847e+07 
1e-3			 	  2.92847e+07         0e-12  	            0e-12            0e-12 	  	2.92847e+07 
1e-2				  1.45817e+07         0e-12  	            0e-12  	     1478.87   	  	1.45832e+07 
1e-1			 	  4.50319e+06         0e-12  	            0e-12  	     468.457   	  	4.50366e+06  
1			 	  1.78857e+06         1.32568   	    0e-12 	     2269.57   	  	1.79084e+06 
1e1				  43196   	      14.8229   	    0e-12 	     1474.65   	        44685.5 
1e2 				  1808.35   	      34.0295   	    0e-12 	     65.0282   	        1907.41 
1e3 				  6.22686   	      17.4619   	    0e-12 	     914.567e-3 	24.6033 
1e4 				  178.989e-3  	      4.16732  	            12.9981   	     9.33013e-3	        17.3537 
1e5 			 	  14.6001e-3 	      682.527e-3  	    30.6032   	     93.3013e-6	        31.3005 
1e6 				  1.42758e-3  	      95.1054e-3  	    39.9136   	     933.013e-9 	40.0101 
1e7 				  142.434e-6 	      12.1986e-3  	    40.9192   	     9.33013e-9 	40.9315 
1e8 				  14.2402e-6 	      1.48869e-3 	    41.5608   	     93.3013e-12 	41.5623 
1e9  				  1.42398e-6 	      175.753e-6 	    41.5637   	     0.933013e-12 	41.5639 

  
